symbol,date,open,high,low,close,volume
AAPL,2022-01-03,174.01337226981713,178.95499096160628,173.895952516217,178.10365295410156,104487900
AAPL,2022-01-04,178.71035458130368,179.01369889567948,175.2756775127618,175.84323120117188,99310400
AAPL,2022-01-05,175.75520858897764,176.30318747314612,170.89187359502515,171.16586303710938,94537600
AAPL,2022-01-06,168.99347567343597,171.53767993498516,167.95622799076347,168.30850219726562,96904000
AAPL,2022-01-07,169.1793866130696,170.40255876885018,167.3593058480161,168.47483825683594,86709100
AAPL,2022-01-10,165.45120727418032,168.79780545137268,164.56073410828597,168.4944610595703,106765600
AAPL,2022-01-11,168.62165897014336,171.42026304461638,167.1538521125257,171.32241821289062,76138300
AAPL,2022-01-12,172.34005950483805,173.37730710526796,171.06797240622825,171.76272583007812,74805200
AAPL,2022-01-13,172.00740890545092,172.8293772441357,168.1030368997407,168.4944610595703,84505800
AAPL,2022-01-14,167.66264878484014,170.0502832024392,167.4180143556812,169.35552978515625,80440800
AAPL,2022-01-18,167.82902257608225,168.83691537487223,165.77410203397278,166.15573120117188,90956700
AAPL,2022-01-19,166.3514456378891,167.40826837840387,162.37858408989868,162.662353515625,94815000
AAPL,2022-01-20,163.3962376065405,166.03828667936338,160.65632878123083,160.979248046875,91420500
AAPL,2022-01-21,160.89118731707072,162.76019814543096,158.81669190708894,158.92433166503906,122848900
AAPL,2022-01-24,156.58563920962845,158.8167044309835,151.3798104055977,158.1512908935547,162294600
AAPL,2022-01-25,155.5679206315474,159.26679197315192,153.64999508546384,156.3507537841797,115798400
AAPL,2022-01-26,159.99092174206848,160.86181974023197,154.43283450239605,156.2626953125,108275300
AAPL,2022-01-27,158.9634528706825,160.3236197319786,154.88295228679408,155.8027801513672,121954600
AAPL,2022-01-28,162.15350702087153,166.69392186078738,159.30595841103175,166.67434692382812,179935700
AAPL,2022-01-31,166.5080140130585,171.24413390438698,165.8719554140601,171.0288543701172,115541600
AAPL,2022-02-01,170.2753591337895,171.08754730875657,168.61184784118433,170.86248779296875,86213900
AAPL,2022-02-02,170.9994831805343,172.105235689561,169.6099612749151,172.0660858154297,84914300
AAPL,2022-02-03,170.73526997176376,172.45750604377838,168.4259201826274,169.18917846679688,89418100
AAPL,2022-02-04,168.20939100229583,170.5804825811808,167.22960653014735,168.90504455566406,82465400
AAPL,2022-02-07,169.36554243968104,170.4335039135459,167.4941505320522,168.18980407714844,77251200
AAPL,2022-02-08,168.25840756625686,171.80523803495097,167.96446919200875,171.29574584960938,74829200
AAPL,2022-02-09,172.4910539110368,173.07891560572492,171.36429283315064,172.71640014648438,71285000
AAPL,2022-02-10,170.61968723864308,171.93259499604034,168.08204874852603,168.64051818847656,90865900
AAPL,2022-02-11,168.8462728505392,169.58111126110254,164.64298876993468,165.23086547851562,98670700
AAPL,2022-02-14,163.98650420148718,166.15183422384362,163.19288125878157,165.4659881591797,86185500
AAPL,2022-02-15,167.51375134007887,169.45372039657573,166.80830532856646,169.2969512939453,62527400
AAPL,2022-02-16,168.3759520184021,169.83582117930217,166.61233714082573,169.06179809570312,61177400
AAPL,2022-02-17,167.57251856143097,168.43473358576446,165.06427298190405,165.4659881591797,69589300
AAPL,2022-02-18,166.38699918366942,167.0924302194162,162.83037691642315,163.91793823242188,82772700
AAPL,2022-02-22,161.64483056360834,163.32026851174712,158.872038841447,160.99818420410156,91162800
AAPL,2022-02-23,162.19354527351996,162.79121451131508,156.52059869701176,156.83413696289062,90009200
